date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:46	6405/6405	---M-Z	200	added ('OK')	text/css	etag:%221905-5b681db372c7d-gzip%22	https://alertbar.oit.duke.edu/sites/all/themes/blackwell/css/alert.css	E:/Comparative/alertbar.oit.duke.edu/sites/all/themes/blackwell/css/alert.css	(from https://literature.duke.edu/)
14:03:52	20808/20808	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-5148%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js	E:/Comparative/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js	(from https://literature.duke.edu/)
14:03:57	4064/4064	---M-Z	200	added ('OK')	text/css	etag:%225eb03e2d-fe0%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css	E:/Comparative/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css	(from https://literature.duke.edu/)
14:03:58	1075148/1075148	---M--	200	added ('OK')	image/jpeg	etag:%221067cc-605e00e9bbc29%22	https://literature.duke.edu/sites/literature.duke.edu/files/styles/large_feature_slide_1280x720_/public/background-images/Maya%20Kronfeld%20-%20new%20faculty%20profile%20feature%20image%20(1).jpg?h=f5f13485&itok=VOMwyuza	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/styles/large_feature_slide_1280x720_/public/background-images/Maya%20Kronfeld%20-%20new%20faculty%20profile%20feature%20image%20(1)7002.jpg	(from https://literature.duke.edu/)
14:03:58	611644/611644	---M--	200	added ('OK')	image/jpeg	etag:%229553c-5bff2abb04bf1%22	https://literature.duke.edu/sites/literature.duke.edu/files/styles/large_feature_slide_1280x720_/public/background-images/bnw_wordjumble.jpg?h=bb05ae10&itok=ofxNfY4L	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/styles/large_feature_slide_1280x720_/public/background-images/bnw_wordjumble140a.jpg	(from https://literature.duke.edu/)
14:04:02	93983/93983	---MCZ	200	added ('OK')	text/html	etag:%221701774239-gzip%22	https://literature.duke.edu/news	E:/Comparative/literature.duke.edu/news.html	(from https://literature.duke.edu/)
14:04:04	42375/42375	---MCZ	200	added ('OK')	text/html	etag:%221701774243-gzip%22	https://literature.duke.edu/events	E:/Comparative/literature.duke.edu/events.html	(from https://literature.duke.edu/)
14:04:04	9494/9494	---M--	200	added ('OK')	image/svg+xml	etag:%222516-5a81cff5913c6%22	https://literature.duke.edu/themes/custom/tts_base/images/trinity-logo.svg	E:/Comparative/literature.duke.edu/themes/custom/tts_base/images/trinity-logo.svg	(from https://literature.duke.edu/)
14:04:05	1283694/1283694	---M--	200	added ('OK')	image/jpeg	etag:%2213966e-605a2163f95c9%22	https://literature.duke.edu/sites/literature.duke.edu/files/styles/large_feature_slide_1280x720_/public/background-images/2023_Christine_Leon_Portraits-1.jpg?h=2ab84a0e&itok=2hmyj-Yt	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/styles/large_feature_slide_1280x720_/public/background-images/2023_Christine_Leon_Portraits-1d4d5.jpg	(from https://literature.duke.edu/)
14:04:05	10618/10618	---M--	200	added ('OK')	image/svg+xml	etag:%22297a-5c0f2c6444d0d%22	https://literature.duke.edu/sites/literature.duke.edu/themes/tts_sub/logo.svg	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/themes/tts_sub/logo.svg	(from https://literature.duke.edu/)
14:04:05	44774/44774	---M-Z	200	added ('OK')	text/html	etag:%221701774038-gzip%22	https://literature.duke.edu/about	E:/Comparative/literature.duke.edu/about.html	(from https://literature.duke.edu/)
14:04:07	45550/45550	---MCZ	200	added ('OK')	text/html	etag:%221701774246-gzip%22	https://literature.duke.edu/collective-statement-climate-conduct-and-values	E:/Comparative/literature.duke.edu/collective-statement-climate-conduct-and-values.html	(from https://literature.duke.edu/)
14:04:09	44632/44632	---MCZ	200	added ('OK')	text/html	etag:%221701774248-gzip%22	https://literature.duke.edu/statement-harassment-and-discrimination	E:/Comparative/literature.duke.edu/statement-harassment-and-discrimination.html	(from https://literature.duke.edu/)
14:04:13	61795/61795	---MCZ	200	added ('OK')	text/html	etag:%221701774250-gzip%22	https://literature.duke.edu/undergraduate-programs	E:/Comparative/literature.duke.edu/undergraduate-programs.html	(from https://literature.duke.edu/)
14:04:15	51828/51828	---MCZ	200	added ('OK')	text/html	etag:%221701774253-gzip%22	https://literature.duke.edu/undergraduate/major-minor-certificates	E:/Comparative/literature.duke.edu/undergraduate/major-minor-certificates.html	(from https://literature.duke.edu/)
14:04:16	49540/49540	---MCZ	200	added ('OK')	text/html	etag:%221701774255-gzip%22	https://literature.duke.edu/undergraduate/about-gcs	E:/Comparative/literature.duke.edu/undergraduate/about-gcs.html	(from https://literature.duke.edu/)
14:04:18	51094/51094	---MCZ	200	added ('OK')	text/html	etag:%221701774257-gzip%22	https://literature.duke.edu/undergraduate/gwd-honors-thesis	E:/Comparative/literature.duke.edu/undergraduate/gwd-honors-thesis.html	(from https://literature.duke.edu/)
14:04:20	50224/50224	---MCZ	200	added ('OK')	text/html	etag:%221701774259-gzip%22	https://literature.duke.edu/undergraduate/research	E:/Comparative/literature.duke.edu/undergraduate/research.html	(from https://literature.duke.edu/)
14:04:22	55290/55290	---MCZ	200	added ('OK')	text/html	etag:%221701774260-gzip%22	https://literature.duke.edu/undergraduate/ambassadors	E:/Comparative/literature.duke.edu/undergraduate/ambassadors.html	(from https://literature.duke.edu/)
14:04:23	53894/53894	---M-Z	200	added ('OK')	text/html	etag:%221701773939-gzip%22	https://literature.duke.edu/graduate	E:/Comparative/literature.duke.edu/graduate.html	(from https://literature.duke.edu/)
14:04:24	53496/53496	---M-Z	200	added ('OK')	text/html	etag:%221701772405-gzip%22	https://literature.duke.edu/graduate/phd	E:/Comparative/literature.duke.edu/graduate/phd.html	(from https://literature.duke.edu/)
14:04:25	51221/51221	---M-Z	200	added ('OK')	text/html	etag:%221701772770-gzip%22	https://literature.duke.edu/graduate/prospective-students	E:/Comparative/literature.duke.edu/graduate/prospective-students.html	(from https://literature.duke.edu/)
14:04:27	54950/54950	---MCZ	200	added ('OK')	text/html	etag:%221701774265-gzip%22	https://literature.duke.edu/graduate/current-students	E:/Comparative/literature.duke.edu/graduate/current-students.html	(from https://literature.duke.edu/)
14:04:35	256083/256083	---MCZ	200	added ('OK')	text/html	etag:%221701774268-gzip%22	https://literature.duke.edu/courses	E:/Comparative/literature.duke.edu/courses.html	(from https://literature.duke.edu/)
14:04:36	71474/71474	---MCZ	200	added ('OK')	text/html	etag:%221701774275-gzip%22	https://literature.duke.edu/spring-2024-courses	E:/Comparative/literature.duke.edu/spring-2024-courses.html	(from https://literature.duke.edu/)
14:04:40	74315/74315	---MCZ	200	added ('OK')	text/html	etag:%221701774277-gzip%22	https://literature.duke.edu/people/appointed-faculty/primary-faculty	E:/Comparative/literature.duke.edu/people/appointed-faculty/primary-faculty.html	(from https://literature.duke.edu/)
14:04:42	56289/56289	---MCZ	200	added ('OK')	text/html	etag:%221701774280-gzip%22	https://literature.duke.edu/people/appointed-faculty/secondary-faculty	E:/Comparative/literature.duke.edu/people/appointed-faculty/secondary-faculty.html	(from https://literature.duke.edu/)
14:04:45	67403/67403	---MCZ	200	added ('OK')	text/html	etag:%221701774282-gzip%22	https://literature.duke.edu/people/other-faculty/emeriti	E:/Comparative/literature.duke.edu/people/other-faculty/emeriti.html	(from https://literature.duke.edu/)
14:04:48	78735/78735	---MCZ	200	added ('OK')	text/html	etag:%221701774286-gzip%22	https://literature.duke.edu/people/graduate-students	E:/Comparative/literature.duke.edu/people/graduate-students.html	(from https://literature.duke.edu/)
14:04:51	63322/63322	---MCZ	200	added ('OK')	text/html	etag:%221701774289-gzip%22	https://literature.duke.edu/people/staff	E:/Comparative/literature.duke.edu/people/staff.html	(from https://literature.duke.edu/)
14:04:54	68091/68091	---MCZ	200	added ('OK')	text/html	etag:%221701774291-gzip%22	https://literature.duke.edu/research	E:/Comparative/literature.duke.edu/research.html	(from https://literature.duke.edu/)
14:04:56	62363/62363	---MCZ	200	added ('OK')	text/html	etag:%221701774295-gzip%22	https://literature.duke.edu/research/philosophy-literature-and-aesthetics	E:/Comparative/literature.duke.edu/research/philosophy-literature-and-aesthetics.html	(from https://literature.duke.edu/)
14:04:58	59032/59032	---MCZ	200	added ('OK')	text/html	etag:%221701774297-gzip%22	https://literature.duke.edu/research/film-and-new-media	E:/Comparative/literature.duke.edu/research/film-and-new-media.html	(from https://literature.duke.edu/)
14:05:00	51425/51425	---MCZ	200	added ('OK')	text/html	etag:%221701774299-gzip%22	https://literature.duke.edu/research/critical-race-theory	E:/Comparative/literature.duke.edu/research/critical-race-theory.html	(from https://literature.duke.edu/)
14:05:01	57759/57759	---MCZ	200	added ('OK')	text/html	etag:%221701774300-gzip%22	https://literature.duke.edu/research/feminisms-gender-and-sexuality	E:/Comparative/literature.duke.edu/research/feminisms-gender-and-sexuality.html	(from https://literature.duke.edu/)
14:05:03	57049/57049	---MCZ	200	added ('OK')	text/html	etag:%221701774302-gzip%22	https://literature.duke.edu/research/globalization-and-postcoloniality	E:/Comparative/literature.duke.edu/research/globalization-and-postcoloniality.html	(from https://literature.duke.edu/)
14:05:05	62276/62276	---MCZ	200	added ('OK')	text/html	etag:%221701774304-gzip%22	https://literature.duke.edu/research/literary-and-cultural-studies	E:/Comparative/literature.duke.edu/research/literary-and-cultural-studies.html	(from https://literature.duke.edu/)
14:05:06	55853/55853	---MCZ	200	added ('OK')	text/html	etag:%221701774306-gzip%22	https://literature.duke.edu/research/marxism-and-critical-theory	E:/Comparative/literature.duke.edu/research/marxism-and-critical-theory.html	(from https://literature.duke.edu/)
14:05:09	55776/55776	---MCZ	200	added ('OK')	text/html	etag:%221701774308-gzip%22	https://literature.duke.edu/research/modernism-and-modernity	E:/Comparative/literature.duke.edu/research/modernism-and-modernity.html	(from https://literature.duke.edu/)
14:05:12	54734/54734	---MCZ	200	added ('OK')	text/html	etag:%221701774309-gzip%22	https://literature.duke.edu/research/psychoanalysis	E:/Comparative/literature.duke.edu/research/psychoanalysis.html	(from https://literature.duke.edu/)
14:05:14	53723/53723	---MCZ	200	added ('OK')	text/html	etag:%221701774313-gzip%22	https://literature.duke.edu/research/science-studies	E:/Comparative/literature.duke.edu/research/science-studies.html	(from https://literature.duke.edu/)
14:05:16	55898/55898	---MCZ	200	added ('OK')	text/html	etag:%221701774314-gzip%22	https://literature.duke.edu/research/the-americas-and-the-us	E:/Comparative/literature.duke.edu/research/the-americas-and-the-us.html	(from https://literature.duke.edu/)
14:05:18	70459/70459	---MCZ	200	added ('OK')	text/html	etag:%221701774317-gzip%22	https://literature.duke.edu/selected-books	E:/Comparative/literature.duke.edu/selected-books.html	(from https://literature.duke.edu/)
14:05:20	62186/62186	---MCZ	200	added ('OK')	text/html	etag:%221701774319-gzip%22	https://literature.duke.edu/news/maya-kronfeld-literature-philosophy-and-all-jazz	E:/Comparative/literature.duke.edu/news/maya-kronfeld-literature-philosophy-and-all-jazz.html	(from https://literature.duke.edu/)
14:05:22	56096/56096	---MCZ	200	added ('OK')	text/html	etag:%221701774321-gzip%22	https://literature.duke.edu/news/caribbean-literature-christina-leon-stays-questions	E:/Comparative/literature.duke.edu/news/caribbean-literature-christina-leon-stays-questions.html	(from https://literature.duke.edu/)
14:05:24	52434/52434	---MCZ	200	added ('OK')	text/html	etag:%221701774323-gzip%22	https://literature.duke.edu/undergraduate/major	E:/Comparative/literature.duke.edu/undergraduate/major.html	(from https://literature.duke.edu/)
14:05:26	51585/51585	---MCZ	200	added ('OK')	text/html	etag:%221701774325-gzip%22	https://literature.duke.edu/undergraduate/film-media	E:/Comparative/literature.duke.edu/undergraduate/film-media.html	(from https://literature.duke.edu/)
14:05:29	50124/50124	---MCZ	200	added ('OK')	text/html	etag:%221701774327-gzip%22	https://literature.duke.edu/undergraduate/minor	E:/Comparative/literature.duke.edu/undergraduate/minor.html	(from https://literature.duke.edu/)
